No.,Nombre de municipio,Nombre de localidad,Clave del Centro de Trabajo (CCT),Nombre del plantel,Matrícula,Semáforo federal,Programa,Porcentaje de avance (%),Latitud,Longitud
1,ATLIXCO,ATLIXCO,21DTV0286C,IGNACIO ALLENDE,17, DAÑO MENOR ,ESCUELAS AL CIEN 2018,100,18.916667,-98.539167
2,ATLIXCO,TOLOMETLA DE BENITO JUAREZ,21DPR1548E,FERNANDO XIMELLO,25, DAÑO MENOR ,ESCUELAS AL CIEN 2018,100,18.926111,-98.397778
3,ATLIXCO,ATLIXCO,21EPR0042H,JOSE LUIS R ALCONEDO,36, DAÑO MENOR ,ESCUELAS AL CIEN 2018,100,18.907746,-98.433345
4,TILAPA,SAN FELIX RIJO,21ETV0482D,DEFENSORES DE PUEBLA,50, DAÑO MENOR ,RECURSO ESTATAL,100,18.620278,-98.550278
5,XOCHILTEPEC,XOCHILTEPEC,21ETV0498E,SOCRATES,63, DAÑO PARCIAL ,RECURSO ESTATAL,100,18.651667,-98.343333
6,TOCHIMILCO,SANTA CRUZ CUAUTOMATITLA,21EBH1151L,BACHILLERATO DIGITAL NUM. 175,41, DAÑO MENOR ,RECURSO ESTATAL,100,18.804444,-98.624167
7,HUAQUECHULA,SANTA ANA COATEPEC,21ETV0626J,AQUILES SERDAN,19, DAÑO MENOR ,RECURSO ESTATAL,100,18.836667,-98.434722
8,HUAQUECHULA,CACALOXUCHITL,21DPR2150D,BENITO JUAREZ,425, DAÑO MENOR ,RECURSO ESTATAL,100,18.787874,-98.482288
9,ACATLÁN,ACATLAN DE OSORIO,21EMS0023V,JOSE ORTEGA BARROSO,17, DAÑO MENOR ,RECURSO ESTATAL,100,18.616389,-98.174444
10,ACATLÁN,ACATLAN DE OSORIO,21EJN1422G,PREESCOLAR GENERAL,11, DAÑO MENOR ,RECURSO ESTATAL,100,18.210948,-98.032928
11,ACATLÁN,ACATLAN DE OSORIO,21DJN2285B,JARDIN DE NIÑOS CAPEP ACATLAN,102, DAÑO MENOR ,RECURSO ESTATAL,100,18.227884,-98.035727
12,ACATLÁN,SAN BERNARDO,21DES0110I,JOSEFA ORTIZ DE DOMINGUEZ,94, DAÑO MENOR ,RECURSO ESTATAL,100,18.213333,-98.103611
13,CHIETLA,ATENCINGO,21DPR1221A,PRESIDENTE LICENCIADO ADOLFO LOPEZ MATEOS,405, DAÑO PARCIAL ,ESCUELAS AL CIEN 2018,100,18.514282,-98.606687
14,CHIETLA,ATENCINGO,21DPR1894N,PROFESOR  FELIPE FRANCO PACHECO,349, DAÑO PARCIAL ,ESCUELAS AL CIEN 2018,100,18.511528,-98.607949
