N°,Municipio,Etapa,Edad,Género
1,ACATLAN DE OSORIO,1,23,Femenino
2,ACATLAN DE OSORIO,1,40,Femenino
3,ACATLAN DE OSORIO,1,63,Femenino
4,ACATLAN DE OSORIO,1,22,Femenino
5,ACATLAN DE OSORIO,1,48,Femenino
6,ACATLAN DE OSORIO,1,45,Femenino
7,ACATLAN DE OSORIO,1,48,Femenino
8,ACATLAN DE OSORIO,1,50,Femenino
9,ACATLAN DE OSORIO,1,33,Femenino
10,CHILA,1,30,Femenino
11,ACATLAN DE OSORIO,1,37,Femenino
12,ACATLAN DE OSORIO,1,39,Femenino
13,ACATLAN DE OSORIO,1,71,Femenino
14,ACATLAN DE OSORIO,1,27,Femenino
15,ACATLAN DE OSORIO,1,36,Femenino
16,ACATLAN DE OSORIO,1,49,Femenino
17,ACATLAN DE OSORIO,1,31,Femenino
18,ACATLAN DE OSORIO,1,26,Femenino
19,ACATLAN DE OSORIO,1,44,Femenino
20,ACATLAN DE OSORIO,1,24,Femenino
21,ACATLAN DE OSORIO,1,46,Femenino
22,ACATLAN DE OSORIO,1,21,Femenino
23,ACATLAN DE OSORIO,1,41,Femenino
24,ACATLAN DE OSORIO,1,21,Femenino
25,ACATLAN DE OSORIO,1,97,Femenino
26,ACATLAN DE OSORIO,1,28,Femenino
27,ACATLAN DE OSORIO,1,48,Femenino
28,ACATLAN DE OSORIO,1,63,Femenino
29,ACATLAN DE OSORIO,1,25,Femenino
30,ACATLAN DE OSORIO,1,52,Femenino
31,ACATLAN DE OSORIO,1,33,Femenino
32,ACATLAN DE OSORIO,1,22,Femenino
33,ACATLAN DE OSORIO,1,52,Femenino
34,ACATLAN DE OSORIO,1,67,Femenino
35,ACATLAN DE OSORIO,1,28,Femenino
36,ACATLAN DE OSORIO,1,58,Femenino
37,ACATLAN DE OSORIO,1,21,Femenino
38,ACATLAN DE OSORIO,1,60,Femenino
39,ACATLAN DE OSORIO,1,45,Femenino
40,ACATLAN DE OSORIO,1,69,Femenino
41,ACATLAN DE OSORIO,1,41,Femenino
42,ACATLAN DE OSORIO,1,54,Femenino
43,ACATLAN DE OSORIO,1,33,Femenino
44,ACATLAN DE OSORIO,1,24,Femenino
45,ACATLAN DE OSORIO,1,20,Femenino
46,ACATLAN DE OSORIO,1,56,Femenino
47,ACATLAN DE OSORIO,1,53,Femenino
48,ACATLAN DE OSORIO,1,24,Femenino
49,ACATLAN DE OSORIO,1,28,Femenino
50,ACATLAN DE OSORIO,1,32,Femenino
51,ACATLAN DE OSORIO,1,25,Femenino
52,ACATLAN DE OSORIO,1,51,Femenino
53,ACATLAN DE OSORIO,1,30,Femenino
54,ACATLAN DE OSORIO,1,30,Femenino
55,ACATLAN DE OSORIO,1,29,Femenino
56,ACATLAN DE OSORIO,1,55,Femenino
57,ACATLAN DE OSORIO,1,24,Femenino
58,ACATLAN DE OSORIO,1,44,Femenino
59,ACATLAN DE OSORIO,1,53,Femenino
60,ACATLAN DE OSORIO,1,33,Femenino
61,ACATLAN DE OSORIO,1,31,Femenino
62,ACATLAN DE OSORIO,1,50,Femenino
63,ACATLAN DE OSORIO,1,29,Femenino
64,ACATLAN DE OSORIO,1,75,Femenino
65,ACATLAN DE OSORIO,1,20,Femenino
66,ACATLAN DE OSORIO,1,41,Femenino
67,ACATLAN DE OSORIO,1,26,Femenino
68,ACATLAN DE OSORIO,1,57,Femenino
69,ACATLAN DE OSORIO,1,24,Femenino
70,ACATLAN DE OSORIO,1,54,Femenino
71,ACATLAN DE OSORIO,1,46,Femenino
72,ACATLAN DE OSORIO,1,43,Femenino
73,ACATLAN DE OSORIO,1,46,Femenino
74,ACATLAN DE OSORIO,1,49,Femenino
75,ACATLAN DE OSORIO,1,53,Femenino
76,ACATLAN DE OSORIO,1,42,Femenino
77,ACATLAN DE OSORIO,1,37,Femenino
78,ACATLAN DE OSORIO,1,38,Femenino
79,ACATLAN DE OSORIO,1,37,Femenino
80,ACATLAN DE OSORIO,1,34,Femenino
81,ACATLAN DE OSORIO,1,38,Femenino
82,ACATLAN DE OSORIO,1,27,Femenino
83,ACATLAN DE OSORIO,1,30,Femenino
84,ACATLAN DE OSORIO,1,52,Femenino
85,ACATLAN DE OSORIO,1,43,Femenino
86,ACATLAN DE OSORIO,1,56,Femenino
87,ACATLAN DE OSORIO,1,30,Femenino
88,ACATLAN DE OSORIO,1,56,Femenino
89,ACATLAN DE OSORIO,1,59,Femenino
90,ACATLAN DE OSORIO,1,24,Femenino
91,ACATLAN DE OSORIO,1,41,Femenino
92,ACATLAN DE OSORIO,1,19,Femenino
93,ACATLAN DE OSORIO,1,65,Femenino
94,ACATLAN DE OSORIO,1,43,Femenino
95,ACATLAN DE OSORIO,1,28,Femenino
96,ACATLAN DE OSORIO,1,43,Femenino
97,ACATLAN DE OSORIO,1,70,Femenino
98,ACATLAN DE OSORIO,1,28,Femenino
99,ACATLAN DE OSORIO,1,70,Femenino
100,ACATLAN DE OSORIO,1,45,Femenino
101,ACATLAN DE OSORIO,1,56,Femenino
102,ACATLAN DE OSORIO,1,32,Femenino
103,ACATLAN DE OSORIO,1,38,Femenino
104,ACATLAN DE OSORIO,1,56,Femenino
105,ACATLAN DE OSORIO,1,34,Femenino
106,ACATLAN DE OSORIO,1,56,Femenino
107,ACATLAN DE OSORIO,1,40,Femenino
108,ACATLAN DE OSORIO,1,56,Femenino
109,ACATLAN DE OSORIO,1,29,Femenino
110,ACATLAN DE OSORIO,1,45,Femenino
111,ACATLAN DE OSORIO,1,51,Femenino
112,ACATLAN DE OSORIO,1,52,Femenino
113,ACATLAN DE OSORIO,1,24,Femenino
114,ACATLAN DE OSORIO,1,62,Femenino
115,ACATLAN DE OSORIO,1,54,Femenino
116,ACATLAN DE OSORIO,1,59,Femenino
117,ACATLAN DE OSORIO,1,59,Femenino
118,ACATLAN DE OSORIO,1,62,Femenino
