"","Length","Extent","Head","Humerus","Sternum","V6","V7"
"1",156,245,31.6,18.5,20.5,"A","yellow"
"2",154,240,30.4,17.9,19.6,"C","yellow"
"3",153,240,31,18.4,20.6,"A","yellow"
"4",153,236,30.9,17.7,20.2,"A","brown"
"5",155,243,31.5,18.6,20.3,"A","red"
"6",163,247,32,19,20.9,"C","yellow"
"7",157,238,30.9,18.4,20.2,"B","yellow"
"8",155,239,32.8,18.6,21.2,"C","red"
"9",164,248,32.7,19.1,21.1,"A","red"
"10",158,238,31,18.8,22,"A","brown"
"11",158,240,31.3,18.6,22,"C","brown"
"12",160,244,31.1,18.6,20.5,"A","yellow"
"13",161,246,32.3,19.3,21.8,"A","red"
"14",157,245,32,19.1,20,"A","brown"
"15",157,235,31.5,18.1,19.8,"C","yellow"
"16",156,237,30.9,18,20.3,"B","brown"
"17",158,244,31.4,18.5,21.6,"A","yellow"
"18",153,238,30.5,18.2,20.9,"A","yellow"
"19",155,236,30.3,18.5,20.1,"A","red"
"20",163,246,32.5,18.6,21.9,"A","red"
"21",159,236,31.5,18,21.5,"A","red"
"22",155,240,31.4,18,20.7,"B","yellow"
"23",156,240,31.5,18.2,20.6,"C","brown"
"24",160,242,32.6,18,21.7,"C","red"
"25",152,232,30.3,17.2,19.8,"A","red"
"26",160,250,31.7,18.8,22.5,"C","brown"
"27",155,237,31,18.5,20,"B","red"
"28",157,245,32.2,19.5,21.4,"C","red"
"29",165,245,33.1,19.8,22.7,"C","yellow"
"30",153,231,30.1,17.3,19.8,"C","red"
"31",162,239,30.3,18,23.1,"B","red"
"32",162,243,31.6,18.8,21.3,"C","brown"
"33",159,245,31.8,18.5,21.7,"C","yellow"
"34",159,247,30.9,18.1,19,"B","yellow"
"35",155,243,30.9,18.5,21.3,"C","brown"
"36",162,252,31.9,19.1,22.2,"C","yellow"
"37",152,230,30.4,17.3,18.6,"C","red"
"38",159,242,30.8,18.2,20.5,"A","brown"
"39",155,238,31.2,17.9,19.3,"C","red"
"40",163,249,33.4,19.5,22.8,"C","red"
"41",163,242,31,18.1,20.7,"C","yellow"
"42",156,237,31.7,18.2,20.3,"A","brown"
"43",159,238,31.5,18.4,20.3,"B","yellow"
"44",161,245,32.1,19.1,20.8,"C","brown"
"45",155,235,30.7,17.7,19.6,"B","yellow"
"46",162,247,31.9,19.1,20.4,"A","yellow"
"47",153,237,30.6,18.6,20.4,"C","yellow"
"48",162,245,32.5,18.5,21.1,"C","red"
"49",164,248,32.3,18.8,20.9,"B","brown"
